Incident ID,Department,Officer Name,Off duty?,Officer Age,Officer Race/Ethnicity,Officer Gender,Post action
240,Fort Worth PD,Robin Krouse,,54,W,M,
241,Fort Worth PD,J.J. Gray,,U,U,U,
242,Fort Worth PD,Kent Bickley,,32,W,M,
243,Fort Worth PD,Kerry Kimball,,42,W,M,
244,Fort Worth PD,Jon Romer,,35,W,M,
245,Fort Worth PD,Jose Salazar,,30,H,M,
246,Fort Worth PD,Rayune Smith,,28,B,M,
247,Fort Worth PD,Lane,,U,U,U,
248,Fort Worth PD,Benjamin Banes,,41,W,M,
248,Fort Worth PD,Joseph Hill,,37,B,M,
248,Fort Worth PD,Ryan Stepp,,35,W,M,
249,Fort Worth PD,McGinty,,U,U,U,
250,Fort Worth PD,Michael Salas,,45,H,M,
250,Fort Worth PD,Larry Gulley,,51,B,M,
250,Fort Worth PD,Ronnie Carey,,49,W,M,
251,Fort Worth PD,Noel Oglesby,,45,W,F,
251,Fort Worth PD,James Alex,,47,B,M,
252,Fort Worth PD,Kyle Davis,,32,W,M,
253,Fort Worth PD,Dennis Alise,,48,W,M,
254,Fort Worth PD,Bell,,U,U,U,
255,Fort Worth PD,Michael Neill,,39,W,M,
256,Fort Worth PD,Benjamin Banes,,41,W,M,
257,Fort Worth PD,Marty Stone,,36,W,M,
258,Fort Worth PD,Richard Hoeppner,,26,W,M,
259,Fort Worth PD,Bryan Farmer,,39,W,M,
260,Fort Worth PD,Michael Rowell,,31,W,M,
261,Fort Worth PD,Eric Charles,,44,W,M,
262,Fort Worth PD,Jason Ricks,,38,W,M,
263,Fort Worth PD,Darrin Parr,,46,W,M,
264,Fort Worth PD,Eduardo Gasca,,28,H,M,
265,Fort Worth PD,Christopher Jones,,29,W,M,
266,Fort Worth PD,Byron Wylie,,32,W,M,
266,Fort Worth PD,Robert Stewart,,40,W,M,
267,Fort Worth PD,Federico Conchas,Y,34,W,M,
268,Fort Worth PD,Jason Caffey,,43,W,M,
269,Fort Worth PD,Steven Partain,,34,W,M,
269,Fort Worth PD,Jose Reyes,,40,H,M,
901,Fort Worth PD,Courtney Johnson,,33,W,M,Indicted
902,Fort Worth PD,Mark Ochsendorf,,46,W,M,
900,Fort Worth PD,Andrew Smith,,28,W,M,
270,El Paso PD,Off. Jorge Gonzalez #2411,Y,U,H,M,Indicted
271,El Paso PD,"Gallegos, Raul #2737",,27,W,M,
271,El Paso PD,"Almanza, Victor #2520",,36,W,M,
272,El Paso PD,Off. Jorge Gonzalez #2411,,41,H,M,40-hour suspension
273,El Paso PD,Off. Paul McDowell #2809,,U,W,M,
1002,El Paso PD,Robert Thomas,,U,U,U,
653,El Paso PD,"Liciero, Antonio #2750",,U,W,M,
274,El Paso PD,Sgt. Alonzo Torres #1864,Y,U,U,M,
275,El Paso PD,Officer Albert Gomez #2076,,U,W,M,
276,El Paso PD,Officer Robert Looney #2569,,35,W,M,
277,El Paso PD,"Off. Ramirez, Michael. #2518",,30,W,M,
277,El Paso PD,"Off. Widman, Christopher #2779",,34,W,M,
277,El Paso PD,"Off. Collaso, Michael #2403",,38,W,M,
652,El Paso PD,Jose Flores,,39,W,M,Fired
651,El Paso PD,Adrian Ruiz,,41,W,M,
278,El Paso PD,S. Saldana #2961,,25,H,F,
278,El Paso PD,R. Azar #2722,,32,W,M,
278,El Paso PD,W. Alexander #2717 CRC,,31,W,M,
279,El Paso PD,Leilani Ramos #2915 - 2 yr. Vet,,U,W,F,
280,El Paso PD,Mando Gomez #2410 - 10 yr. Vet,,35,W,M,
281,El Paso PD,Rookie Julian Pena #3025 - 5 month Vet. NERCC,,23,H,M,
281,El Paso PD,"Castanon, Eduardo",,36,W,M,
282,El Paso PD,"Anthony Loera #2842 - 4 yr. Vet, CRCC",,U,W,M,
650,El Paso PD,"Maldonado, Lourdes",,24,W,F,
649,El Paso PD,"Torres, Marcos",Y,47,H,M,
283,Plano PD,Daniel Bryeans,,40,W,M,
284,Plano PD,Ronny Flanagan,,38,W,M,"90-day suspension, demotion"
285,Plano PD,Dominic Saleh,,41,H,M,
286,Garland PD,"Hammett, J. D. #6764",,27,W,M,
287,Garland PD,"Mittendorf, C. E. #6979",,31,W,M,
287,Garland PD,"Pratt, C. J. #7169",,29,W,M,
685,Garland PD,Unknown,,U,U,F,
288,Garland PD,"Tuter, P. W. #7164",,31,W,M,Fired; indicted
289,Garland PD,"Mallison, M. J. #5229",,43,A,M,
290,Garland PD,"Bergin, M. K. #3168",Y,46,W,M,
291,Garland PD,"Olvera, T. A. #5936",,37,H,M,
291,Dallas PD,Matthew Merta,,U,W,M,
292,Garland PD,"Korinek, D. S. #6758",,44,W,M,
293,Garland PD,Unknown,,U,U,U,
293,Garland PD,Unknown,,U,U,U,
293,Garland PD,Unknown,,U,U,U,
293,Garland PD,Unknown,,U,U,U,
293,Garland PD,Unknown,,U,U,U,
294,Grand Prairie PD,A. Martinez #306,,34,H,M,
295,Grand Prairie PD,R. Barry #313,,34,W,M,
297,Grand Prairie PD,C. Walsworth #260,,42,W,M,
298,Grand Prairie PD,G. Monroe #444,,36,W,M,
299,Grand Prairie PD,W. Bement #238,,44,W,M,
299,Grand Prairie PD,B. Smeal #422,,27,W,M,
300,Grand Prairie PD,C. Zarkovich #466,,32,W,M,
300,Grand Prairie PD,M. Diaz #321,,33,W,M,
301,Grand Prairie PD,E. Rahman #294,,41,W,M,
302,McKinney PD,"McGee, J",,U,W,M,Suspension
303,McKinney PD,"Watson, J",,U,W,M,
675,McKinney PD,Unknown,,30,W,M,
675,McKinney PD,Unknown,,25,W,M,
304,Lewisville PD,Micahel Hernandez,,U,H,M,
304,Lewisville PD,Roberto Limon,,U,H,M,
304,Lewisville PD,Jonmichael Martinez,,U,H,M,
305,Lewisville PD,Christopher Clements,,31,H,M,
305,Lewisville PD,Shawn Dority,,31,H,M,
305,Lewisville PD,Richard Eledge,,31,H,M,
306,Lewisville PD,"Robert ""Butch"" Steinle",,32,W,M,
307,San Antonio PD,"Hardin, Alonzio #481",,41,B,M,
308,San Antonio PD,"Castellon, Cruz #2091",,40,H,M,
309,San Antonio PD,"Baldwin, Bryan #2457",,35,H,M,
310,San Antonio PD,"Larios, David #0202",,32,H,M,
311,San Antonio PD,"Naylor, Roy #2500",,44,W,M,
312,San Antonio PD,"Grant, Richard #0231",,29,B,M,
312,San Antonio PD,"Mascorro, Joe #0422",,29,H,M,
313,San Antonio PD,"McFarland, Michael #0719",,34,W,M,
314,San Antonio PD,"Pue, Daniel #0731",,26,W,M,
315,San Antonio PD,"Martin, Matthew #1140",,32,W,M,
315,San Antonio PD,"Lozano,Jewells #0968",,32,H,M,
316,San Antonio PD,"Rios,Joe #3047",,48,H,M,
317,San Antonio PD,"Keith,Emmanuel #0903",,42,B,M,
318,San Antonio PD,"Mucho, Gary #2399",,40,W,M,
319,San Antonio PD,"Vidal, Leonard #0858",,33,H,M,
320,San Antonio PD,"Westmoreland,Brad #1016",,39,W,M,
321,San Antonio PD,"Molter,Mark #0634",,30,W,M,
322,San Antonio PD,"Deleon,Jason #1159",,33,H,M,
322,San Antonio PD,"Rios, Dezi #0797",,28,H,M,
